course_code,course_link,course_name,overall,prof_rating,difficulty,workload,professors,comments,tips
CS-451,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/distributed-algorithms-CS-451,Distributed algorithms,4.4 (9),4.4,3.0,2.6 (8),['Guerraoui'],"['The problem of the DA project is not really the code itself but understanding what they want and the algorithms that you need to use\n*sourced from the web', 'Completely in my opinion, DA was a great course (despite the lab not the clearest, these were fairly simple and you could ask teacher/TA for precisions, and the exam was as announced, 60% they check that you worked and the rest you have to think and resolve problems) and DSE to avoid at any cost (an awful workload with unclear project where you end up trying every possible way to interprete the handout to get the tests passing)\n*sourced from the web', ""J'ai également pris ce cours ainsi que concurrent algorithm. Je trouve les cours très intéressants. En ce qui concerne les exos, les TA étaient vraiment bien pour Distributed. Pour Concurrent je suis assez mitigé. Finalement pour les deux projets, je trouve qu'il y a très peu d'explications sur comment entreprendre le projet et les TA sont pas incroyable. Ca serait vraiment bien si le projet de distributed algo pouvait être réalisé en Rust.\n*sourced from the web"", 'J\'ai pris distributed algo (je ne sais pas pour combien de temps encore). Le prof est super, il a de l\'humour, mais pas le genre ""In your face"". Ses blagues sont suffisamment discrètes et bien espacées pour apporter de la légèreté au tout sans freiner le rythme du cours. J\'aime ce type. Les TAs d\'exercices font ce qu\'ils peuvent avec le peu de temps qui leur est alloué (Il n\'y a eu que 2 séances d\'exercices alors je ne peux pas trop dire). Les TAs de projets... Disons que le projet est TRES PEU guidé (pas un seul commentaire dans le template fourni, pas de marche à suivre, pas de rien, aucune indication des TAs qui se contentent de te fixer en te disant ""c\'est facile, c\'est ce que vous voyez en cours""). Bref : soit tu sais déjà faire et tout va bien, soit tu sais rien et à ce moment-là, ait la décence (et l\'esprit d\'écologie) d\'éteindre la lumière avant de mourir.\n*sourced from the web', ""Je prends les deux cours[DA & CA], mais surtout en concurrent algo. Le projet a un handout assez complet sur les bases à connaître et ce qu'il faut faire, mais ne dit rien du tout sur comment approcher la chose (même si l'assistant du projet est plein de bonne volonté). Ce qu'on voit en cours est très théorique (des réductions qui servent à faire des preuves) mais ça n'a pas du tout l'air d'être directement applicable au projet : ce sont des constructions intéressantes mais inefficaces qui m'ont l'air d'être surtout bonnes à faire des preuves. Du coup bah je sais pas par où commencer, j'ai toujours fait du concurrent programming avec des locks ou bien du compare-and-set, et j'arrive pas du tout à raccommoder les bouts. On ne nous dit même pas de faire une implémentation lock-free, on nous dit juste de faire ce qu'on veut. Donc ça veut dire qu'il est plus naturel pour moi de faire une implémentation qui repose sur des principes que je connais déjà bien, plutôt que de trouver tout seul comment diable appliquer le cours pour faire une vraie transactional memory qui serait plus efficace qu'une implémentation lock-based\n*sourced from the web"", 'The content of the class is very useful, modern code is very distributed and concurrent. You have to think differently from serial code.', 'The course overall is good. Theoretical in nature. Lays a good foundation of the distributed algorithms. Exercise TAs are very responsive and helpful. The book is clear but sometimes differs from what is presented in the lectures which causes confusion. The lecture slides are quite bad and the professor knows it but ignores all requests to improve them. The project is an absolute disaster. Lab TAs are unprepared or straight up refuse to answer questions because ""this is for you to figure out"". Project has strict limits but the evaluation does not respect them. Evaluation is a black box done by TAs. The evaluation process is supposedly automated, yet you will get your grades for each milestone late, or not at all. The grade depends on your speed relative to other students which promotes endless optimization because there is no reference solution you should be aiming towards.', 'I did not find the content super interesting, however, Rachid has good jokes and goes on weird tangents in his lectures. This made the lectures quite enjoyable. Also, the project is not too hard and the exam was easy.', '- A very theoretical course about distributed algorithms that couples well with the Concurrent Computing course (also given by the same prof.). Many algorithms are presented and thoroughly explained, and some proofs are made - The prof. Rachid is spectacular in explaining, he’s like a storyteller talking about the contents of the. One of the best on EPFL so far. The classes are recorded as well - It was a project (30%) + exam (70%) course, - The project was about implementing 3 different distributed algorithms (in 3 milestones) using either Java or C++. I think it was a fair amount of work, even given that I went with C++ as I wanted to learn more about the language. You need to think well about what want to do and how to do it before implementing it, as it might be a bit difficult to debug, since you’ll be making different processes communicate - The exam was, as expected, very theoretical but the questions scaled in difficulty. They started with easy ones that were discussed in class or in the exercise sessions and progressively increased their difficulty. Still, not being a fan of theory courses myself, I found it difficult despite having started fully studying for it 2 weeks before. I probably failed it given my final grade. - Even if you are not a fan of theory, I’d recommend as the way Rachid explains will make you understand and really like the contents of it. The project is also cool and gives you a good perspective of how distributed algorithms can be implemented. The only downside/spooky part is the exam, but I’d say that you can prepare yourself well for it.']","[""For the project, if your code runs, you get a 4, and then it's ranked by how fast it is. The fastest person gets a 6. It's a bit stressful and unfair."", 'Memorize algorithms and master the ability to write hand-wavy proofs that are not necessarily logically sound and you will be fine. Use slides only as guidance for finding the topic in the book.', ""You don't have to do much work, but I'd suggest revising a bit before each lecture, because it is easy to get lost if you forget stuff from the previous lectures"", 'For the exam, do a lot of exercises and go to the exercise sessions, so that you can really understand the theory behind it.']"
CS-452,https://edu.epfl.ch/studyplan/en/master/computer-science-cybersecurity/coursebook/foundations-of-software-CS-452,Foundations of software,4.2 (9),4.2,3.8,3.8 (4),['Doeraene'],"[""I didn't think it was an easy course at all (not very well taught, hard concepts, graded homework + midterm + final exam)\n*sourced from the web"", 'I love Scala, and I loved the course. But the exam was not trivial at all.\n*sourced from the web', 'you can have > 5.0 in Foundation of Software while not understanding anything about metaprogramming\n*sourced from the web', ""if you're not interested in lambda calculus and such FoS will be veryyy boring\n*sourced from the web"", ""I would not say it's a lot of work for a 4 course credit is pretty decent. If you have background in types, lambda calculus etc then it should be ok for you. The professor follows some chapters from Types and Programming Languages book by Pierce. The lab is easy in scala and you have to implement typing systems ( go on fos2020.github.io and see past year tasks - project 1 2 3...- ). Now the exam is written and has a lot of theory, lots of proofs around termination of derivations, lambda calculus etc. Examples are in fos2020.github.io/slides at the Pen and Paper section - it's the written exercise session which prepares you for the exam. Sadly, there are not much of those so you have to prepare with exercises on your own (highly recommend the book in this regard, there are free pdfs online)\n*sourced from the web"", 'Foundations of software is quite easy I think, but the prof isn’t very interested in teaching, and the content can be not to your taste if you’re not into type systems, but hw is easy\n*sourced from the web', ""Le projet de FoS consiste à implémenter un interpréteur de lambda calcul en Scala, éventuellement typé et à la fin capable de polymorphisme, donc c'est pas la pure évidence non plus. Mais c'est faisable avec une bonne maitrise de Scala à la base et si le sujet te passionne vraiment\n*sourced from the web"", ""Cours très théorique, projet facile mais examens difficiles/horribles (car uniquement un set d'exo disponible pour les préparer et différent des projets) mais avec une grosse gaussienne (donc pas trop dur à passer).\n*sourced from the web"", 'I liked the professor and the lectures for the most part, although some of the proofs are quite uninteresting. Cool mini projects where you implement type-checkers in scala.']","['Once you understand the proof techniques used, most of the proofs are very similar']"
CS-453,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/concurrent-algorithms-CS-453,Concurrent algorithms,3.7 (4),5.0,3.3,3.3 (5),['Guerraoui'],"[""Overall pretty nice course. The professor is great and the classes were very interactive. The content is pretty theoretical but even so it was pretty interesting. The project has more mixed feedback xd, it's a low level c/c++ memory managment project, but very useful to understand how transactions work. Feel free to look at the content https://dcl.epfl.ch/site/education/ca_2021\n*sourced from the web"", ""I think Guerraoui is good at explaining things and his lessons are fun/interesting. I would recommend taking both courses as there is some overlap between them. What makes the courses not so great is that they are kinda disorganized... the project specifications are not so clear, the slides are confusing and the material doesn't always overlap with the textbooks. If you've never taken parallel programming courses before though, the stuff you learn is very useful.\n*sourced from the web"", 'It is quite intresting for a computer engineer. Especially for transaction, since that is what you do for the lab.', 'Yes! The project is quite hard, but I learned a lot from it, and the grading is very fair. I also found some of the theory interesting. The exam is not too hard if you have paid attention to the exercise sessions']","['I recommend taking CA+DA together, since they have similar mindset. Although DA project sucks\n*sourced from the web', 'Distributed algorithms and concurrent algorithms are okay in terms of difficulty. You have a project (so hands-on) and the final focuses more on the theoretical part.\n*sourced from the web', 'The lab helps absolutelly nothing for your exam. For the exam you just need to learn all the algorithm seen in class by heart', ""I waited until the final weeks of the semester to do the project. It worked out in the end, but I'd recommend starting early with it, as it is hard to debug.""]"
CS-456,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/artificial-neural-networks-reinforcement-learning-CS-456,Artificial neural networks/reinforcement learning,4.2 (4),4.2,3.2,3.5 (5),['Gerstner'],"['The content is interesting, except the biological aspects of neural network/reinforcement learning. The project is very doable. I felt quite overwhelmed by the exercises. I rate it 7/10\n*sourced from the web', 'The first part of the semester was mostly dedicated to deep learning theory - some very interesting considerations but sometimes a bit too technical to my taste, doing backprop by hand on complicated networks makes no sense. Second half covers reinforcement learning, and does it well The slides are sometimes a bit messy, the exercises sometimes involve a bit too much computation, but overall a very interesting course if you like deep learning I took it along with ""biological modelling of neural networks"" (same teacher) and liked the combo\n*sourced from the web', 'I personally thought the theory was interesting, a lot of maths but not that difficult. Project tho was frustrating at points and not that satisfying, we do implement reinforcement learning but the choice of games was meh to me. Exam was harder than it should have been, compared to the years before.', ""It was an interesting course, although the name is somewhat misleading. We almost solely focused on Reinforcement learning. Be aware: the exercises contain a lot of math, and manual calculations! I did not find this too bad since it actually helps you understand what's going on in the algorithms. The course is more or less divided into: standard RL, Deep RL, and biology. I did not find the biology part very interesting, and would actually enjoy it more if it was replaced by more Deep RL. I would recommend this course if you are interested in Reinforcement learning. If you want an ann course, you should look elsewhere.""]","['One project in groups of 2 The project is in 2 phases Not that hard tbh but the first phase can be pretty frustrating Second one involves neural networks which can take ages to train', ""There are two components in this course: a project and exam. The project is interesting. It is more or less to implement some of the algorithms seen in the class. It was annoying to get it totally correct, and it was time consuming. However, it was not extremely hard and there are similar material on the internet. For the exam, it was not far off from the older exams, so I would put a lot of emphasis on those. And the exercises are all very good to go through again for the final, since they are also quite similar to the exam questions! I must say that the exam format was very odd, you are more or less only allowed to write the final answer and show no calculations... So I am not sure exactly how they grade you on the exam, but judging from what I got, I don't think they are very harsh.""]"
CS-457,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/geometric-computing-CS-457,Geometric computing,4.7 (3),4.7,4.0,3.7 (6),['Pauly'],"[""Yes, this is one of my favorite courses. The homeworks are a lot of work and hard to debug, but the documentation was very clear. Mark's lab works in building physical objects and some of our homeworks were laser-cut and we could assemble them later. Would recommend if you like geometry, physics simulations, numerical analysis."", 'I had quite poor math, no physics, almost no numerical methods background, but I put a lot of work and ended up with a 5. The prof is great, the content is super fun.\n*sourced from the web', 'knowing basic calculous and linear algebra should be fine, but i have to say the loading of this course is very heavy (But, last year was the first time they teach this course, and they says they will made some modification to make it easier after we complaining about the work load)\n*sourced from the web']","[""This was the first version of the course so the format might have changed. But Mark and the TAs were always helpful and willing to help and listening to feedback from students. Don't be afraid to voice any concerns. For example, the TA office hours were changed halfway through the semester to better fit to the schedules of all students."", 'Would highly recommend the course if you are willing to put some extra effort. The homeworks were quite demanding even for those who have strong math/physics background.\n*sourced from the web']"
CS-459,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/foundations-of-probabilistic-proofs-CS-459,Foundations of probabilistic proofs,4.5 (2),4.5,4.0,3.5 (6),['Chiesa'],"[""This is the best course that I've had so far at epfl :)) It is interesting and the prof is amazing. The evaluation may change, but for us it was weekly hws and presentation of a paper in the end\n*sourced from the web"", 'It was interesting, but definitely challenging. The course is quick. You do not need to understand everything, just do the homework and the presentation is usually on one specific subject, so okay.']","['Find other people to work with, it helps a lot to do the homework (2 exercises each of the 10 first weeks) together.']"
CS-460,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/systems-for-data-management-and-data-science-CS-460,Systems for data management and data science,2.5 (4),2.8,2.0,2 (8),"['Anadiotis', 'Kermarrec']","['There is a big overlap with the old database class (cs-322). Professors are okay but slides are very, very bad. If you want to understand well you often have better time to read the corresponding paper directly.', ""All parties don't spend much time with the course. Professors don't prepare their lectures and use the same shitty slides every year, exercises are partially useless are not reworked by the PhD students, but as a student you don't need to spend much with the project (can be done in 3 days, if you're a decent programmer) and you can speed run the content before the exam. If you already have already taken the undergraduate course on databases, you won't get much out of this one."", 'Stopped going to class after 3-4 weeks, really didn’t enjoy it. The project is over credited and autograded (you have the tests) so you can get full grade for it easily and it counted 40%. Midterm + exams aren’t that hard and pattern matchable to some extent. Cheatsheet allowed so there isn’t much to study. Last class is on ML (FL, DL), maybe the only interesting topic. Overall easy and low workload for 8 credits.', ""- Basically, a continuation of the “Databases” course you’ve probably had in your BSc. They delve deep into some details of databases, such as how things are saved on disk, but occasionally only scratch the surface. - The course was given by two professors. The first, prof. Anastasia, explains well and is very emotive when speaking, I enjoyed listening to her. The second, prof. XXX, was less captivating, explained less well and didn’t seem too sure of some contents of the course. There are recorded lectures but some are of very low quality. - It was a project (40%), midterm (25%), and exam (35%) course - The project was too easy but very interesting. It used Apache Spark to show how you can use the map-reduce paradigm for distributed computations. However, it was too short (I finished it in 3 days) and I feel you couldn’t learn enough with what was asked. Also, the project was the same as the previous year, so you may or may not find implementations on GitHub - The midterm included content from the first half of the course. The things asked are similar to the exercise sessions which sadly are a bit different to what was talked in the lectures. The exercises sessions are sometimes not clear, as most of the TAs were not very good at explaining nor were secure about the content. The questions ranged from very easy to very difficult and you had some dependencies on questions, which would be bad if you failed a previous calculation. It was presential but on moodle and one a4 cheatsheet was allowed. - The exam only included content after the midterm. It wasn't too difficult but it had a lot of questions. One a4 cheatsheet was also allowed. - If you are into databases and distributed systems, this course is very interested and the project, despite short, lets you learn more about cool technologies that are used out there. I also didn’t find it too difficult, so it might also be cool for the credits.""]","['The exams (midterm + final) are quizzes on moodle, they are not that hard if you did exercises correctly. There is also a project in Spark (Scala) which very easy to complete as you have more than 2 months to do it. The project is mainly graded with unit test (easy to have 6)', ""For the Prof. Ailamaki you're better of with the COW book, instead of going to the lectures. For Prof. Kermarrec part you should rely on the papers (they are not too difficult to read. As specially the baseball one was super helpful)"", 'Midterm scope was on weeks 1-7, and final on 8-13 and was respected. Make sure to have a good cheatsheet and understand the few algorithms/applications you note on it. Project doesn’t require to go to class, you can finish it as soon as it is released in one go to be chill after.', 'Put everything you can in the cheatsheet and be confortable with the contents of the class. I advise to read the papers of technologies/frameworks presented, as they did not go in dept during the class but the knowledge was relevant for the exam.']"
CS-470,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/advanced-computer-architecture-CS-470,Advanced computer architecture,4.2 (6),4.7,3.3,3.7 (8),['Ienne'],"['It’s a very interesting and intense course. Next year it will count 8 ECTS and not 6 anymore (rightfully so). The prof is very good at teaching, but the lectures get quite technical quickly. This year was the first one in which they introduced homework. They were very heavy and I think they will correct them for the next edition of the course. All in all, I would recommend it if you are interested in the subject.\n*sourced from the web', ""The homeworks/labs were badly organized and required a lot more time than they should have (at least for me). Since it was the first time the course was organized like that, I'm sure it will be better next time. The subjects covered in the homeworks went from meh to super interesting, but there was a bit too much of a feeling of doing the same thing between the first two for me. They really helped in understanding the material though.\n*sourced from the web"", 'The course is interesting, especially on its last part on Spectre and Meltdown vulnerabilities. The evaluation is fair and the professor is passionate and accessible.', 'The course is interesting, especially on its last part on Spectre and Meltdown vulnerabilities. The evaluation is fair and the professor is passionate and accessible.', 'The prof is great and very knowledgeable. The course content is pretty much essential to anyone who wants to later do hardware-related work.', 'The prof is really passionate and it makes lectures really enjoyable. The content is interesting if you like Computer Architecture. There is also some computer security at the end of the semester which was interesting even though I’m not really into it. Homeworks count little for the workload, and the first two can take quite some time if you have bugs and need to debug things. Last two homeworks are short. You can use any language you want for the homeworks 1 & 2.']","[""I didn't go to class enough to comment much on that but the first lectures were pretty good although a bit long to sit through three hours and then go to the two lab support hours.. Get to your (Reservation) Stations!\n*sourced from the web"", ""The homeworks take lots of time, especially the second one on VLIW. The final exam has open questions of understanding and a bit of thinking about «pretty much everything covered in the course». Don't be a total jerk like me, know what an Itanium processor is."", ""The homeworks take lots of time, especially the second one on VLIW. The final exam has open questions of understanding and a bit of thinking about «pretty much everything covered in the course». Don't be a total jerk like me, know what an Itanium processor is."", '-The labs take a lot of time and are not worth a lot in the final grade (30% total). Don\'t skip them, but also know when to stop if they take too much time. -You\'re only given a mock exam for preparing the final, so take notes or use flash cards like I did, since it\'s more of a ""learn everything by heart"" subject.', 'The labs aren’t necessary, even though they recommend them before doing the homeworks, it can help to go through if you experience difficulties. The exam is different to the usual CompArch exams in bachelor. Having a good understanding of the content is the most important as the exam questions were mainly theoretical. There are no brain-dead table-filling exercises as in undergraduate comparch classes. There were no exercises or past exams (just one template), you should expect something that asks to show good comprehension of the main concepts.']"
CS-471,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/advanced-multiprocessor-architecture-CS-471,Advanced multiprocessor architecture,3.7 (3),4.3,3.0,3.3 (6),[],"['Cool class if you are into computer engineering in general. Quite a heavy workload with a midterm, final exam, graded homework and project.', 'Cool class if you are into computer engineering in general. Quite a heavy workload with a midterm, final exam, graded homework and project.', ""The workload of the course is not ver much considering it weights 6 credits, but I wouldn't say I learned a lot from this course. I feel like there are too much topics packed into this course, so we barely scratch the surface of a lot of the topics.""]","['Lectures are interesting and really help digest the material, as the slides only serve as support. It requires to read a lot of papers for the homework as well as for the project.', 'Lectures are interesting and really help digest the material, as the slides only serve as support. It requires to read a lot of papers for the homework as well as for the project.', ""Do the homework and the project. Study the past exams and you'll most likely be fine. The grades are curved anyway.""]"
CS-473,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/embedded-systems-CS-473,Embedded systems,1.3 (3),1.3,4.0,4.7 (4),['Beuchat'],"[""Ok so... I took it 2 years ago. I have a background in Electrical Engineering, though I focused more on analog than digital stuff... still, I had never felt so lost in a class before. The lectures are terrible, not even worth going to, he gives waaaay too much for granted. The labs are kind of half-assed in my opinion, you just get thrown a problem and are expected to read through who knows how many (and which) manuals and debug the weird tools they give you because somehow they won't link the ELF library... My suggestion is, unless you have a really strong background with FPGAs, it's not worth taking, it's so disorganized that you don't even end up learning much despite all the effort. The grading is VERY generous though, it's unlikely you'll fail even if you're completely lost. On a positive note... the course probably reflects the kind of environment you will find in the industry, so if that's really the field you want to get into... I still think there are better ways, but in IC there aren't many alternatives afaik\n*sourced from the web"", 'Lesson are straight trash, as the slides and the other study material offered. Homeworks are hard and bad organised, way too much for a 4 credits course. But they are useful and the part of the course where you learn actually cool stuff.', ""No. Even just the software installation at the beginning of the course was impossible to do. They didn't test any of the options they suggested. The first assignment was very hard and because we couldn't properly install the software, it was simply impossible to finish. I dropped the course in week 5. There were 3 assistants, 2 of which did not understand anything (I actually didn't realize they were assistants until a couple weeks in). The PhD assistant was very helpful but 1 knowledgeable assistant was not enough. I really would not recommend it unless you have a lot of time to figure things out on your own or if you already know a lot about this topic.""]","[""Don't go to lesson. Use the TAs time as much as possible, it's the only way to achieve something in the homework."", 'I do not have any study tips. But asking the TA is kind of the only option to get stuff done.']"
CS-476,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/real-time-embedded-systems-CS-476,Real-time embedded systems,3.3 (3),3.3,3.7,3.7 (4),['Beuchat'],"['I took it in Fall 2019, have to say that Prof. De Michele is really good and clear. Is a deep systems course, so the solutions have to be really precise. You work on understanding how to design chips given the logic gates they will have and all the optimization steps. The practical lab is rather simple, but also helpful as it is a hands-on approach.', 'I took the course in the 2024 spring semester and it is now called Embedded Systems Design. The course is challenging if you are new to hardware design. Learned a lot from the practical assignments.', ""This course is now being taught by Mr. Kluter, who already has some reputation in the CS department. To sum up: he often does not show up to the lectures, he lacks communication skills (for ex. some of the lab requirements were not stated at all; still got penalized for missing them in the hand-in..) and his grading is inexact at best and harsh at worst. This course reflected all of these flaws. This is a 100% project based course, not only in the sense that the projects are the only thing affecting your grade, but also that the lecture material is almost completely useless. Even though we now use Verilog instead of VHDL, the aged nature of the tools used is still painfully apparent, slowing you down considerably. The final project (50% of the grade) was also wayyy too ambitious for a 6-credit course, especially with barely any additional guidance, even when taking the prof's own proposed baseline project. What doesn't help is the harsh grading: we had components which perfectly mimicked the reference implementation, and still ended up with barely half the points, most of the time. I know this is the first year Mr. Kluter teaches this course, and I hope he will address a lot of these issues because the content is very interesting, even if the course does not make good use of it.""]","['Despite the homeworks are individual, nothing impedes you to discuss the problem with your peers, or even do them together. All discrete mathematics background and logic gates is very welcome.', 'I found that test benching is usually always the quickest way to debug the hardware', ""Make sure to get a firm grasp on HDL languages like Verilog / VHDL; even though they look and seem to behave like normal programming languages, on silicon this changes dramatically with undefined behavior, catching you off guard most of the time. Prepare to spend significant time on debugging, testbenches are the fastest way to do so. Use EPFL's VDI for building: DO NOT try to install the tools on your own machine, your hair will fall out""]"
CS-486,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/interaction-design-CS-486,Interaction design,3.3 (3),2.7,2.0,2.3 (4),['Pu Faltings'],"['It teaches some good interaction design principles and the workload is quite light. In my experience it was sometimes unclear what the exact expectations were during the project but it seemed to depend on the groups.', 'Yes I would suggest it but only if you like the subject', ""Class is overall pretty easy. The quizzes are completely open note and you aren't required to show up to any other lectures besides the quiz days. Prof is flexible if you miss quizzes as well. The actual design project is also pretty easy, just 4 checkpoints throughout the semester and mostly writeups and then mini assignments leading up to creating an interative design project for an app in the end.""]","[""Don't overdo the studying (the exam is quite easy with last minute revising) but follow the project guidelines."", 'Ask for feedback many times and you will go much better', ""Just ask the prof for lots of feedback and she'll tell you what she wants, her instructions aren't always super clear.""]"
CS-489,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/experience-design-CS-489,Experience design,4.3 (3),4.0,2.7,2.7 (6),['Huang'],"['This course is interesting, although sometimes a little muddy (some parts are more marketing-oriented). The evaluation of the course is attributed to a project, which means everything (working regularly, a little more). Generally speaking, this is good.\n*sourced from the web', 'In the course you\'ll team up with 3~5 ppl in from Architecture/Computer Science, and each team will work on a project, where you can choose the topic freely in a specific scope (Every year is different. Last year was ""Smart City"".). The goal is to design a product that ""bring new experience"" for the users, and the idea can be very imaginative and not practical at all. They have a website that collects all the previous projects.\n*sourced from the web', ""Would definitely recommend this course if you're interested in mixing up your study plan - the course was very different than the usual CS courses. You get to team up with students from architecture and work together during the whole semester. After every class there's a workshop were you're supposed to do the week's task, usually includes filling out some kind of template - requires you to be creative but it's not a lot of work (you can also do it later online). Tasks also include some interesting stuff, like filming a short video that promotes your idea, or going through an experience and documenting the steps and how you felt. Definitely was a refreshing experience!""]","['Every week you make a miro board on a specific topic toward your project, and in the end of the semester you combine all the miro board you did and film a video to present your project. You don’t have to really make the product; just provide the idea, diagram and the UI with Figma. I feel the overall workload is relatively low for a 6 ECTS course, and it’s also easy to pass.\n*sourced from the web', ""Doesn't require you to study outside of the lectures, but attending the lectures was important, since that's when teams usually met up and did the week's task. You can skip a couple of lectures if you coordinate with your teammates.""]"
CS-522,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/principles-of-computer-systems-CS-522,Principles of computer systems,4.2 (5),4.2,4.2,3.5 (7),"['Argyraki', 'Candea']","[""One of the best course I took during my master. I learnt a lot about lots of domains, it gives broad skills. For the writing, it helped me a lot getting better at. And it's great to read papers with discussions to learn how to actually read them. I really recommend if that's something that you like. If you want a programming class, don't take it :)\n*sourced from the web"", ""Well it definitely teaches you to read papers, and the design discussions are really interesting. I didn't take the time to write OPs well, but had I done so, my technical writing would have improved a lot too. So I find the course useful. That said, at the end of the course the skills learned are a bit abstract and harder to pinpoint than with more applied courses. Also I find the discussions to be the most important part of the course, if you don't participate, you cut the usefulness of the course at the very least in half. P.S. it teaches you to read papers by making you read a ton of them, not by lecturing how to :)\n*sourced from the web"", ""Fun and challenging. The principles you're taught should prove very useful in future projects or in real-world projects."", ""A lot of article reading, quite deep discussions and analysis of systems, weekly small tests on understanding the paper you've just read (before the discussion!), three one-page written assignments per semester to write a meaningful text on a given systems question/topic, final exam was in December (also written analysis/designing some aspects of a computer system given the initial idea and constraints)"", ""I don't recommend this course if you don't have the prerequisites. I had all necessary prerequisites and still found it hard. The OPs were of questionable quality throughout the semester and the final was juste three OPs in a row ..""]","['Ensure you spend a lot of time on this course, read the papers thoroughly and participate on the recitation sessions. Enjoy 😃', ""Requires deep prior knowledge of OS, networks, computer architecture or it's gonna be a nightmare for you (and you'll probably drop it) Absolutely great lectures and professor, I must say though"", 'Time spent reading and discussing the papers is inversly proportional to your OP grade for that week']"
CS-524,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/computational-complexity-CS-524,Computational complexity,5 (2),5.0,4.0,3.5 (4),['Göös'],"[""I had the same prof in Theory of Computation: he's a 🐐 [GOAT]\n*sourced from the web"", ""I recommend this course for people that liked TOC in the bachelor's degree. Pr. Goos is great, and very passionate about this subject. You learn a lot about complexity classes, and how they relate to each other (other than P and NP ... ), so it's great to have a broader view in the field.""]","[""I needed to work hard, because it's not always easy to solve the exercices (a lot of proofs) and intuition is sometimes hard to get. Go to office hours ! ;)""]"
CS-550,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/formal-verification-CS-550,Formal verification,5 (3),5.0,3.0,3 (6),['Kuncak'],"[""Je crois qu'on n'est pas très nombreux à l'avoir pris, mais personnellement ça m'a fait découvrir un nouveau domaine ; j'ai d'ailleurs par la suite réalisé mon projet de semestre dans le labo. Le cours est assez technique (mais intéressant) et les assignments sont largement abordables. L'examen était difficile mais ne comptait heureusement pas pour beaucoup. Je recommande tout de même de le prendre en deuxième année de Master\n*sourced from the web"", 'Le cours est superbe et tu découvres Kuncak dans un mood ""Je parle pas à des première"" which is goood\n*sourced from the web', ""In that course you'll learn a lot, it also requires to work and do the assignments to follow it up. Background in logic is pretty important. The course is enjoyable and you'll earn an overview very useful for constructing better technology.\n*sourced from the web""]","[""it's a bit a weird organization, last year grade was only based on 3 homeworks/mini projects and 1 big project (based on a paper review). I liked the material but did not really assimilate it ... by skipping some lectures as they were not relevant for projects and lack of time at the end of the semester. Maybe it'll change :) But if you are looking to do a project in Dr Kuncak's lab it's a great starting point,you are free to go in any directions\n*sourced from the web""]"
